entrada,pessoas,umidade,temperatura,resposta
0,0,69,29.5,69.2876729480999
1,0,69,29.5,69.2876729480999
2,0,69,29.5,69.2876729480999
3,0,69,29.5,69.2876729480999
4,0,69,29.5,69.2876729480999
5,0,69,29.5,69.2876729480999
6,0,69,29.5,69.2876729480999
7,0,69,29.5,69.2876729480999
8,0,69,29.5,69.2876729480999
9,0,69,29.5,69.2876729480999
10,0,69,29.5,69.2876729480999
11,0,69,29.5,69.2876729480999
12,0,69,29.5,69.2876729480999
13,0,69,29.5,69.2876729480999
14,0,69,29.5,69.2876729480999
15,0,69,29.5,69.2876729480999
16,0,69,29.5,69.2876729480999
17,0,69,29.5,69.2876729480999
18,0,69,29.5,69.2876729480999
19,0,69,29.5,69.2876729480999
20,0,69,29.5,69.2876729480999
21,0,69,29.5,69.2876729480999
22,0,69,29.5,69.2876729480999
23,0,69,29.5,69.2876729480999
24,0,69,29.5,69.2876729480999
25,0,69,29.5,69.2876729480999
26,0,69,29.5,69.2876729480999
27,0,69,29.5,69.2876729480999
28,0,69,29.5,69.2876729480999
29,0,69,29.5,69.2876729480999
30,0,69,29.5,69.2876729480999
31,0,69,29.5,69.2876729480999
32,0,69,29.5,69.2876729480999
33,0,69,29.5,69.2876729480999
34,0,69,29.5,69.2876729480999
35,0,69,29.5,69.2876729480999
36,0,69,29.5,69.2876729480999
37,0,69,29.5,69.2876729480999
38,0,69,29.5,69.2876729480999
39,0,69,29.5,69.2876729480999
40,0,69,29.5,69.2876729480999
41,0,69,29.5,69.2876729480999
42,1,70,29.5,50.00000000000002
43,1,70,29.5,50.00000000000002
44,1,70,29.5,50.00000000000002
45,1,70,29.5,50.00000000000002
46,1,70,29.5,50.00000000000002
47,1,70,29.5,50.00000000000002
48,1,70,29.5,50.00000000000002
49,1,70,29.5,50.00000000000002
50,1,70,29.5,50.00000000000002
51,1,70,29.5,50.00000000000002
52,1,70,29.5,50.00000000000002
53,1,70,29.5,50.00000000000002
54,1,70,29.5,50.00000000000002
55,1,70,29.5,50.00000000000002
56,1,70,29.5,50.00000000000002
57,1,70,29.5,50.00000000000002
58,1,70,29.5,50.00000000000002
59,1,70,29.5,50.00000000000002
60,1,70,29.5,50.00000000000002
61,1,70,29.5,50.00000000000002
62,1,70,29.5,50.00000000000002
63,1,70,29.5,50.00000000000002
64,1,70,29.5,50.00000000000002
65,1,70,29.5,50.00000000000002
66,1,70,29.5,50.00000000000002
67,1,70,29.5,50.00000000000002
68,1,70,29.5,50.00000000000002
69,1,70,29.5,50.00000000000002
70,1,70,29.5,50.00000000000002
71,1,70,29.5,50.00000000000002
72,1,70,29.5,50.00000000000002
73,1,70,29.5,50.00000000000002
74,1,70,29.5,50.00000000000002
75,1,70,29.5,50.00000000000002
76,1,70,29.5,50.00000000000002
77,1,70,29.5,50.00000000000002
78,1,70,29.5,50.00000000000002
79,1,70,29.5,50.00000000000002
80,1,70,29.5,50.00000000000002
81,1,70,29.5,50.00000000000002
82,1,70,29.5,50.00000000000002
83,1,70,29.5,50.00000000000002
84,1,70,29.5,50.00000000000002
85,1,70,29.5,50.00000000000002
86,1,70,29.5,50.00000000000002
87,1,70,29.5,50.00000000000002
88,1,70,29.5,50.00000000000002
89,1,70,29.5,50.00000000000002
90,1,70,29.5,50.00000000000002
91,1,70,29.5,50.00000000000002
92,1,70,29.5,50.00000000000002
93,1,70,29.5,50.00000000000002
94,1,70,29.5,50.00000000000002
95,1,70,29.5,50.00000000000002
96,1,70,29.5,50.00000000000002
97,1,70,29.5,50.00000000000002
98,1,70,29.5,50.00000000000002
99,1,70,29.5,50.00000000000002
100,1,70,29.5,50.00000000000002
101,1,70,29.5,50.00000000000002
102,1,70,29.5,50.00000000000002
103,1,70,29.5,50.00000000000002
104,1,70,29.5,50.00000000000002
105,1,70,29.5,50.00000000000002
106,1,70,29.5,50.00000000000002
107,1,70,29.5,50.00000000000002
108,1,70,29.5,50.00000000000002
109,1,70,29.5,50.00000000000002
110,1,70,29.5,50.00000000000002
111,1,70,29.5,50.00000000000002
112,1,70,29.5,50.00000000000002
113,1,70,29.5,50.00000000000002
114,1,70,29.5,50.00000000000002
115,1,70,29.5,50.00000000000002
116,1,70,29.5,50.00000000000002
117,1,70,29.5,50.00000000000002
118,1,70,29.5,50.00000000000002
119,1,70,29.5,50.00000000000002
120,1,70,29.4,50.00000000000002
121,1,70,29.4,50.00000000000002
122,1,70,29.4,50.00000000000002
123,1,70,29.4,50.00000000000002
124,1,70,29.4,50.00000000000002
125,1,70,29.4,50.00000000000002
126,1,70,29.4,50.00000000000002
127,1,70,29.4,50.00000000000002
128,1,70,29.4,50.00000000000002
129,1,70,29.4,50.00000000000002
130,1,70,29.4,50.00000000000002
131,1,70,29.4,50.00000000000002
132,1,70,29.4,50.00000000000002
133,1,70,29.4,50.00000000000002
134,1,70,29.4,50.00000000000002
135,1,70,29.4,50.00000000000002
136,1,70,29.4,50.00000000000002
137,1,70,29.4,50.00000000000002
138,1,70,29.4,50.00000000000002
139,1,70,29.4,50.00000000000002
140,1,70,29.4,50.00000000000002
141,1,70,29.4,50.00000000000002
142,1,70,29.4,50.00000000000002
143,1,70,29.4,50.00000000000002
144,1,70,29.4,50.00000000000002
145,1,70,29.4,50.00000000000002
146,1,70,29.4,50.00000000000002
147,1,70,29.4,50.00000000000002
148,1,70,29.4,50.00000000000002
149,1,70,29.4,50.00000000000002
150,1,70,29.4,50.00000000000002
151,1,70,29.4,50.00000000000002
152,1,70,29.4,50.00000000000002
153,1,70,29.4,50.00000000000002
154,1,70,29.4,50.00000000000002
155,1,70,29.4,50.00000000000002
156,1,70,29.4,50.00000000000002
157,1,70,29.4,50.00000000000002
158,1,70,29.4,50.00000000000002
159,1,70,29.4,50.00000000000002
160,1,70,29.4,50.00000000000002
161,2,68,29.6,50.00000000000002
162,2,68,29.6,50.00000000000002
163,2,68,29.6,50.00000000000002
164,2,68,29.6,50.00000000000002
165,2,68,29.6,50.00000000000002
166,2,68,29.6,50.00000000000002
167,2,68,29.6,50.00000000000002
168,2,68,29.6,50.00000000000002
169,2,68,29.6,50.00000000000002
170,2,68,29.6,50.00000000000002
171,2,68,29.6,50.00000000000002
172,2,68,29.6,50.00000000000002
173,2,68,29.6,50.00000000000002
174,2,68,29.6,50.00000000000002
175,2,68,29.6,50.00000000000002
176,3,68,29.6,50.00000000000002
177,3,68,29.6,50.00000000000002
178,3,68,29.6,50.00000000000002
179,3,68,29.6,50.00000000000002
180,3,68,29.6,50.00000000000002
181,3,68,29.6,50.00000000000002
182,3,68,29.6,50.00000000000002
183,3,68,29.6,50.00000000000002
184,3,68,29.6,50.00000000000002
185,3,68,29.6,50.00000000000002
186,3,68,29.6,50.00000000000002
187,3,68,29.6,50.00000000000002
188,3,68,29.6,50.00000000000002
189,3,68,29.6,50.00000000000002
190,3,68,29.6,50.00000000000002
191,3,68,29.6,50.00000000000002
192,3,68,29.6,50.00000000000002
193,3,68,29.6,50.00000000000002
194,3,68,29.6,50.00000000000002
