entrada,pessoas,umidade,temperatura,resposta
0,0,63.0,29.3,67.51162394134032
1,0,63.0,29.3,67.51162394134032
2,0,63.0,29.3,67.51162394134032
3,0,63.0,29.3,67.51162394134032
4,0,63.0,29.3,67.51162394134032
5,0,63.0,29.3,67.51162394134032
6,0,63.0,29.3,67.51162394134032
7,0,63.0,29.3,67.51162394134032
8,0,63.0,29.3,67.51162394134032
9,0,63.0,29.3,67.51162394134032
10,0,63.0,29.3,67.51162394134032
11,0,63.0,29.3,67.51162394134032
12,0,63.0,29.3,67.51162394134032
13,0,63.0,29.3,67.51162394134032
14,0,63.0,29.3,67.51162394134032
15,0,63.0,29.3,67.51162394134032
16,0,63.0,29.3,67.51162394134032
17,0,63.0,29.3,67.51162394134032
18,0,63.0,29.3,67.51162394134032
19,0,63.0,29.3,67.51162394134032
20,0,63.0,29.3,67.51162394134032
21,0,63.0,29.3,67.51162394134032
22,0,63.0,29.3,67.51162394134032
23,0,63.0,29.3,67.51162394134032
24,0,63.0,29.3,67.51162394134032
25,0,63.0,29.3,67.51162394134032
26,0,63.0,29.3,67.51162394134032
27,0,63.0,29.3,67.51162394134032
28,0,63.0,29.3,67.51162394134032
29,0,63.0,29.3,67.51162394134032
30,0,63.0,29.3,67.51162394134032
31,0,63.0,29.3,67.51162394134032
32,0,63.0,29.3,67.51162394134032
33,0,63.0,29.3,67.51162394134032
34,0,63.0,29.3,67.51162394134032
35,0,63.0,29.3,67.51162394134032
36,0,63.0,29.3,67.51162394134032
37,0,63.0,29.3,67.51162394134032
38,0,63.0,29.3,67.51162394134032
39,0,63.0,29.3,67.51162394134032
40,0,63.0,29.3,67.51162394134032
41,0,63.0,29.3,67.51162394134032
42,0,63.0,29.3,67.51162394134032
43,0,63.0,29.3,67.51162394134032
44,0,64.0,29.3,67.66727835760982
45,0,64.0,29.3,67.66727835760982
46,0,64.0,29.3,67.66727835760982
47,0,64.0,29.3,67.66727835760982
48,0,64.0,29.3,67.66727835760982
49,0,64.0,29.3,67.66727835760982
50,0,64.0,29.3,67.66727835760982
51,0,64.0,29.3,67.66727835760982
52,0,64.0,29.3,67.66727835760982
53,0,64.0,29.3,67.66727835760982
54,0,64.0,29.3,67.66727835760982
55,0,64.0,29.3,67.66727835760982
56,0,64.0,29.3,67.66727835760982
57,0,64.0,29.3,67.66727835760982
58,0,64.0,29.3,67.66727835760982
59,0,64.0,29.3,67.66727835760982
60,0,64.0,29.3,67.66727835760982
61,0,64.0,29.3,67.66727835760982
62,0,64.0,29.3,67.66727835760982
63,0,64.0,29.3,67.66727835760982
64,0,64.0,29.3,67.66727835760982
