entrada,pessoas,umidade,temperatura,resposta
0,0,75.0,28.8,73.65702817215491
1,0,75.0,28.8,73.65702817215491
2,0,75.0,28.8,73.65702817215491
3,0,75.0,28.8,73.65702817215491
4,0,75.0,28.8,73.65702817215491
5,0,75.0,28.8,73.65702817215491
6,0,75.0,28.8,73.65702817215491
7,0,75.0,28.8,73.65702817215491
8,0,75.0,28.8,73.65702817215491
9,0,75.0,28.8,73.65702817215491
10,0,75.0,28.8,73.65702817215491
11,0,75.0,28.8,73.65702817215491
12,0,75.0,28.8,73.65702817215491
13,1,75.0,28.8,54.300411522633766
14,1,75.0,28.8,54.300411522633766
15,2,75.0,28.8,54.300411522633766
16,2,75.0,28.8,54.300411522633766
17,3,75.0,28.8,54.300411522633766
18,3,75.0,28.8,54.300411522633766
19,3,75.0,28.8,54.300411522633766
20,3,75.0,28.8,54.300411522633766
21,3,75.0,28.8,54.300411522633766
