entrada,pessoas,umidade,temperatura,resposta
0,0,69.0,29.6,69.2876729480999
1,0,69.0,29.6,69.2876729480999
2,0,69.0,29.6,69.2876729480999
3,0,69.0,29.6,69.2876729480999
4,0,69.0,29.6,69.2876729480999
5,0,69.0,29.6,69.2876729480999
6,0,69.0,29.6,69.2876729480999
7,0,69.0,29.6,69.2876729480999
8,0,69.0,29.6,69.2876729480999
9,0,69.0,29.5,69.2876729480999
10,0,69.0,29.5,69.2876729480999
11,0,69.0,29.5,69.2876729480999
12,0,69.0,29.5,69.2876729480999
13,0,69.0,29.5,69.2876729480999
14,0,69.0,29.5,69.2876729480999
15,0,69.0,29.5,69.2876729480999
16,0,69.0,29.5,69.2876729480999
17,0,69.0,29.5,69.2876729480999
18,0,69.0,29.5,69.2876729480999
19,0,69.0,29.5,69.2876729480999
20,0,69.0,29.5,69.2876729480999
21,0,69.0,29.5,69.2876729480999
22,0,69.0,29.5,69.2876729480999
23,0,69.0,29.5,69.2876729480999
24,0,69.0,29.5,69.2876729480999
25,0,69.0,29.5,69.2876729480999
26,0,69.0,29.5,69.2876729480999
27,0,69.0,29.5,69.2876729480999
28,0,69.0,29.5,69.2876729480999
29,0,69.0,29.5,69.2876729480999
30,0,69.0,29.5,69.2876729480999
31,0,69.0,29.5,69.2876729480999
32,0,69.0,29.5,69.2876729480999
33,0,69.0,29.5,69.2876729480999
34,0,69.0,29.5,69.2876729480999
35,0,69.0,29.5,69.2876729480999
36,0,70.0,29.5,69.80853251092263
37,0,70.0,29.5,69.80853251092263
38,0,70.0,29.5,69.80853251092263
39,0,70.0,29.5,69.80853251092263
40,0,70.0,29.5,69.80853251092263
41,0,70.0,29.5,69.80853251092263
42,0,70.0,29.5,69.80853251092263
43,0,70.0,29.5,69.80853251092263
44,0,70.0,29.5,69.80853251092263
45,0,70.0,29.5,69.80853251092263
46,0,70.0,29.5,69.80853251092263
47,0,70.0,29.5,69.80853251092263
48,0,70.0,29.5,69.80853251092263
49,0,70.0,29.5,69.80853251092263
50,0,70.0,29.5,69.80853251092263
51,0,70.0,29.5,69.80853251092263
52,0,70.0,29.5,69.80853251092263
53,0,70.0,29.5,69.80853251092263
54,0,70.0,29.5,69.80853251092263
55,0,70.0,29.5,69.80853251092263
56,0,70.0,29.5,69.80853251092263
57,0,70.0,29.5,69.80853251092263
58,0,70.0,29.5,69.80853251092263
59,0,70.0,29.5,69.80853251092263
60,0,70.0,29.5,69.80853251092263
61,0,70.0,29.5,69.80853251092263
62,0,70.0,29.5,69.80853251092263
63,0,70.0,29.4,69.80853251092263
64,0,70.0,29.4,69.80853251092263
65,0,70.0,29.4,69.80853251092263
66,0,70.0,29.4,69.80853251092263
67,0,70.0,29.4,69.80853251092263
68,0,70.0,29.4,69.80853251092263
69,0,70.0,29.4,69.80853251092263
70,0,70.0,29.4,69.80853251092263
71,0,70.0,29.4,69.80853251092263
72,0,70.0,29.4,69.80853251092263
73,0,70.0,29.4,69.80853251092263
74,0,70.0,29.4,69.80853251092263
75,0,70.0,29.4,69.80853251092263
76,0,70.0,29.4,69.80853251092263
77,0,70.0,29.4,69.80853251092263
78,0,70.0,29.4,69.80853251092263
79,0,70.0,29.4,69.80853251092263
80,0,70.0,29.4,69.80853251092263
81,0,70.0,29.4,69.80853251092263
82,0,70.0,29.4,69.80853251092263
83,0,70.0,29.4,69.80853251092263
84,0,70.0,29.4,69.80853251092263
85,0,70.0,29.4,69.80853251092263
86,0,70.0,29.4,69.80853251092263
87,0,70.0,29.4,69.80853251092263
88,0,70.0,29.4,69.80853251092263
89,0,70.0,29.4,69.80853251092263
90,0,71.0,29.4,70.40652231317668
91,0,71.0,29.4,70.40652231317668
92,0,71.0,29.4,70.40652231317668
93,0,71.0,29.4,70.40652231317668
94,0,71.0,29.4,70.40652231317668
95,0,71.0,29.4,70.40652231317668
96,0,71.0,29.4,70.40652231317668
97,0,71.0,29.4,70.40652231317668
98,0,71.0,29.4,70.40652231317668
99,0,71.0,29.4,70.40652231317668
100,0,71.0,29.4,70.40652231317668
101,0,71.0,29.4,70.40652231317668
102,0,71.0,29.4,70.40652231317668
103,0,71.0,29.4,70.40652231317668
104,0,71.0,29.4,70.40652231317668
105,0,71.0,29.4,70.40652231317668
106,0,71.0,29.4,70.40652231317668
107,0,71.0,29.4,70.40652231317668
108,0,71.0,29.3,70.40652231317668
109,0,71.0,29.3,70.40652231317668
110,0,71.0,29.3,70.40652231317668
111,0,71.0,29.3,70.40652231317668
112,0,71.0,29.3,70.40652231317668
113,0,71.0,29.3,70.40652231317668
114,0,71.0,29.3,70.40652231317668
115,0,71.0,29.3,70.40652231317668
116,0,71.0,29.3,70.40652231317668
117,0,71.0,29.3,70.40652231317668
118,0,71.0,29.3,70.40652231317668
119,0,71.0,29.3,70.40652231317668
120,0,71.0,29.3,70.40652231317668
121,0,71.0,29.3,70.40652231317668
122,0,71.0,29.3,70.40652231317668
123,0,71.0,29.3,70.40652231317668
124,0,71.0,29.3,70.40652231317668
125,0,71.0,29.3,70.40652231317668
126,0,71.0,29.3,70.40652231317668
127,0,71.0,29.3,70.40652231317668
128,0,71.0,29.3,70.40652231317668
129,0,71.0,29.3,70.40652231317668
130,0,71.0,29.3,70.40652231317668
131,0,71.0,29.3,70.40652231317668
132,0,71.0,29.3,70.40652231317668
133,0,71.0,29.3,70.40652231317668
134,0,71.0,29.3,70.40652231317668
135,0,71.0,29.3,70.40652231317668
136,0,71.0,29.3,70.40652231317668
137,0,71.0,29.3,70.40652231317668
138,0,71.0,29.3,70.40652231317668
139,0,71.0,29.3,70.40652231317668
140,0,71.0,29.3,70.40652231317668
141,0,71.0,29.3,70.40652231317668
142,0,71.0,29.3,70.40652231317668
143,0,71.0,29.3,70.40652231317668
144,0,71.0,29.2,70.40652231317668
145,0,71.0,29.2,70.40652231317668
146,0,71.0,29.2,70.40652231317668
147,0,71.0,29.2,70.40652231317668
148,0,71.0,29.2,70.40652231317668
149,0,71.0,29.2,70.40652231317668
150,0,71.0,29.2,70.40652231317668
151,0,71.0,29.2,70.40652231317668
152,0,71.0,29.2,70.40652231317668
153,0,71.0,29.2,70.40652231317668
154,0,71.0,29.2,70.40652231317668
155,0,71.0,29.2,70.40652231317668
156,0,71.0,29.2,70.40652231317668
157,0,71.0,29.2,70.40652231317668
158,0,71.0,29.2,70.40652231317668
159,0,71.0,29.2,70.40652231317668
160,0,71.0,29.2,70.40652231317668
161,0,71.0,29.2,70.40652231317668
162,0,71.0,29.2,70.40652231317668
163,0,71.0,29.2,70.40652231317668
164,0,71.0,29.2,70.40652231317668
165,0,71.0,29.2,70.40652231317668
166,0,71.0,29.2,70.40652231317668
167,0,71.0,29.2,70.40652231317668
168,0,71.0,29.2,70.40652231317668
169,0,71.0,29.2,70.40652231317668
170,0,71.0,29.2,70.40652231317668
171,0,72.0,29.2,71.0773930753564
172,0,72.0,29.2,71.0773930753564
173,0,72.0,29.2,71.0773930753564
174,0,72.0,29.2,71.0773930753564
175,0,72.0,29.2,71.0773930753564
176,0,72.0,29.2,71.0773930753564
177,0,72.0,29.2,71.0773930753564
178,0,72.0,29.2,71.0773930753564
179,0,72.0,29.2,71.0773930753564
180,0,72.0,29.2,71.0773930753564
181,0,72.0,29.2,71.0773930753564
182,0,72.0,29.2,71.0773930753564
183,0,72.0,29.2,71.0773930753564
184,0,72.0,29.2,71.0773930753564
185,0,72.0,29.2,71.0773930753564
186,0,72.0,29.2,71.0773930753564
187,0,72.0,29.2,71.0773930753564
188,0,72.0,29.2,71.0773930753564
189,0,72.0,29.2,71.0773930753564
190,0,72.0,29.2,71.0773930753564
191,0,72.0,29.2,71.0773930753564
192,0,72.0,29.2,71.0773930753564
193,0,72.0,29.2,71.0773930753564
194,0,72.0,29.2,71.0773930753564
195,0,72.0,29.2,71.0773930753564
196,0,72.0,29.2,71.0773930753564
197,0,72.0,29.2,71.0773930753564
198,0,72.0,29.1,71.0773930753564
199,0,72.0,29.1,71.0773930753564
200,0,72.0,29.1,71.0773930753564
201,0,72.0,29.1,71.0773930753564
202,0,72.0,29.1,71.0773930753564
203,0,72.0,29.1,71.0773930753564
204,0,72.0,29.1,71.0773930753564
205,0,72.0,29.1,71.0773930753564
206,0,72.0,29.1,71.0773930753564
207,0,72.0,29.1,71.0773930753564
208,0,72.0,29.1,71.0773930753564
209,0,72.0,29.1,71.0773930753564
210,0,72.0,29.1,71.0773930753564
211,0,72.0,29.1,71.0773930753564
212,0,72.0,29.1,71.0773930753564
213,0,72.0,29.1,71.0773930753564
214,0,72.0,29.1,71.0773930753564
215,0,72.0,29.1,71.0773930753564
216,0,72.0,29.1,71.0773930753564
217,0,72.0,29.1,71.0773930753564
218,0,72.0,29.1,71.0773930753564
219,0,72.0,29.1,71.0773930753564
220,0,72.0,29.1,71.0773930753564
221,0,72.0,29.1,71.0773930753564
222,0,72.0,29.1,71.0773930753564
223,0,72.0,29.1,71.0773930753564
224,0,72.0,29.1,71.0773930753564
225,0,72.0,29.1,71.0773930753564
226,0,72.0,29.1,71.0773930753564
227,0,72.0,29.1,71.0773930753564
228,0,72.0,29.1,71.0773930753564
229,0,72.0,29.1,71.0773930753564
230,0,72.0,29.1,71.0773930753564
231,0,72.0,29.1,71.0773930753564
232,0,72.0,29.1,71.0773930753564
233,0,72.0,29.1,71.0773930753564
234,0,72.0,29.1,71.0773930753564
235,0,72.0,29.1,71.0773930753564
236,0,72.0,29.1,71.0773930753564
237,0,72.0,29.1,71.0773930753564
238,0,72.0,29.1,71.0773930753564
239,0,72.0,29.1,71.0773930753564
240,0,72.0,29.1,71.0773930753564
241,0,72.0,29.1,71.0773930753564
242,0,72.0,29.1,71.0773930753564
243,0,72.0,29.1,71.0773930753564
244,0,72.0,29.1,71.0773930753564
245,0,72.0,29.1,71.0773930753564
246,0,72.0,29.1,71.0773930753564
247,0,72.0,29.1,71.0773930753564
248,0,72.0,29.1,71.0773930753564
249,0,72.0,29.1,71.0773930753564
250,0,72.0,29.1,71.0773930753564
251,0,72.0,29.1,71.0773930753564
252,0,72.0,29.1,71.0773930753564
253,0,72.0,29.1,71.0773930753564
254,0,72.0,29.1,71.0773930753564
255,0,72.0,29.1,71.0773930753564
256,0,72.0,29.1,71.0773930753564
257,0,72.0,29.1,71.0773930753564
258,0,72.0,29.1,71.0773930753564
259,0,72.0,29.1,71.0773930753564
260,0,72.0,29.1,71.0773930753564
261,0,72.0,29.0,71.0773930753564
262,0,72.0,29.0,71.0773930753564
263,0,72.0,29.0,71.0773930753564
264,0,72.0,29.0,71.0773930753564
265,0,72.0,29.0,71.0773930753564
266,0,72.0,29.0,71.0773930753564
267,0,72.0,29.0,71.0773930753564
268,0,72.0,29.0,71.0773930753564
269,0,72.0,29.0,71.0773930753564
270,0,72.0,29.0,71.0773930753564
271,0,72.0,29.0,71.0773930753564
272,0,72.0,29.0,71.0773930753564
273,0,72.0,29.0,71.0773930753564
274,0,72.0,29.0,71.0773930753564
275,0,72.0,29.0,71.0773930753564
276,0,72.0,29.0,71.0773930753564
277,0,72.0,29.0,71.0773930753564
278,0,72.0,29.0,71.0773930753564
279,0,72.0,29.0,71.0773930753564
280,0,72.0,29.0,71.0773930753564
281,0,72.0,29.0,71.0773930753564
282,0,72.0,29.0,71.0773930753564
283,0,72.0,29.0,71.0773930753564
284,0,72.0,29.0,71.0773930753564
285,0,72.0,29.0,71.0773930753564
286,0,72.0,29.0,71.0773930753564
287,0,72.0,29.0,71.0773930753564
288,0,72.0,29.0,71.0773930753564
289,0,72.0,29.0,71.0773930753564
290,0,72.0,29.0,71.0773930753564
291,0,72.0,29.0,71.0773930753564
292,0,72.0,29.0,71.0773930753564
293,0,72.0,29.0,71.0773930753564
294,0,72.0,29.0,71.0773930753564
295,0,72.0,29.0,71.0773930753564
296,0,72.0,29.0,71.0773930753564
297,0,72.0,29.0,71.0773930753564
298,0,72.0,29.0,71.0773930753564
299,0,72.0,29.0,71.0773930753564
300,0,72.0,29.0,71.0773930753564
301,0,72.0,29.0,71.0773930753564
302,0,72.0,29.0,71.0773930753564
303,0,72.0,29.0,71.0773930753564
304,0,72.0,29.0,71.0773930753564
305,0,72.0,29.0,71.0773930753564
306,0,72.0,29.0,71.0773930753564
307,0,72.0,29.0,71.0773930753564
308,0,72.0,29.0,71.0773930753564
309,0,72.0,29.0,71.0773930753564
310,0,72.0,29.0,71.0773930753564
311,0,72.0,29.0,71.0773930753564
312,0,72.0,29.0,71.0773930753564
313,0,72.0,29.0,71.0773930753564
314,0,72.0,29.0,71.0773930753564
315,0,73.0,28.9,71.8396701146212
316,0,73.0,28.9,71.8396701146212
317,0,73.0,28.9,71.8396701146212
318,0,73.0,28.9,71.8396701146212
319,0,73.0,28.9,71.8396701146212
320,0,73.0,28.9,71.8396701146212
321,0,73.0,28.9,71.8396701146212
322,0,73.0,28.9,71.8396701146212
