,pessoas,umidade,temperatura,resposta
0,0,66.0,31.3,68.13527195667533
1,0,66.0,31.3,68.13527195667533
2,0,66.0,31.3,68.13527195667533
3,0,66.0,31.3,68.13527195667533
4,0,66.0,31.3,68.13527195667533
5,0,66.0,31.3,68.13527195667533
6,0,66.0,31.3,68.13527195667533
7,0,66.0,31.3,68.13527195667533
8,0,66.0,31.3,68.13527195667533
9,0,66.0,31.3,68.13527195667533
10,0,66.0,31.3,68.13527195667533
11,0,66.0,31.3,68.13527195667533
12,0,66.0,31.3,68.13527195667533
13,0,66.0,31.3,68.13527195667533
14,0,66.0,31.3,68.13527195667533
15,0,66.0,31.3,68.13527195667533
16,0,66.0,31.3,68.13527195667533
17,0,66.0,31.3,68.13527195667533
18,0,66.0,31.3,68.13527195667533
19,0,66.0,31.3,68.13527195667533
20,0,66.0,31.3,68.13527195667533
21,0,66.0,31.3,68.13527195667533
22,0,66.0,31.3,68.13527195667533
23,0,66.0,31.3,68.13527195667533
24,0,66.0,31.3,68.13527195667533
25,0,66.0,31.3,68.13527195667533
26,0,66.0,31.3,68.13527195667533
27,0,66.0,31.3,68.13527195667533
28,0,66.0,31.3,68.13527195667533
29,0,66.0,31.3,68.13527195667533
30,0,66.0,31.3,68.13527195667533
31,0,66.0,31.3,68.13527195667533
32,0,66.0,31.3,68.13527195667533
33,0,66.0,31.3,68.13527195667533
34,0,66.0,31.3,68.13527195667533
35,0,66.0,31.3,68.13527195667533
36,0,66.0,31.3,68.13527195667533
37,0,66.0,31.3,68.13527195667533
38,0,66.0,31.3,68.13527195667533
39,0,66.0,31.3,68.13527195667533
40,0,66.0,31.3,68.13527195667533
