entrada,pessoas,umidade,temperatura,resposta
0,0,69.0,25.8,69.2876729480999
1,0,69.0,25.8,69.2876729480999
2,0,69.0,25.8,69.2876729480999
3,0,69.0,25.8,69.2876729480999
4,0,69.0,25.8,69.2876729480999
5,0,69.0,25.8,69.2876729480999
6,0,69.0,25.8,69.2876729480999
7,0,69.0,25.8,69.2876729480999
8,0,69.0,25.8,69.2876729480999
9,0,69.0,25.8,69.2876729480999
10,0,69.0,25.8,69.2876729480999
11,0,69.0,25.8,69.2876729480999
12,0,69.0,25.8,69.2876729480999
13,0,69.0,25.8,69.2876729480999
14,0,69.0,25.8,69.2876729480999
15,0,69.0,25.8,69.2876729480999
16,0,69.0,25.8,69.2876729480999
17,0,69.0,25.8,69.2876729480999
18,0,69.0,25.8,69.2876729480999
19,0,69.0,25.8,69.2876729480999
20,1,69.0,25.8,50.00000000000002
21,1,69.0,25.8,50.00000000000002
22,1,69.0,25.8,50.00000000000002
23,1,69.0,25.8,50.00000000000002
24,1,69.0,25.8,50.00000000000002
25,1,69.0,25.8,50.00000000000002
26,1,69.0,25.8,50.00000000000002
27,1,69.0,25.8,50.00000000000002
28,1,69.0,25.8,50.00000000000002
29,1,69.0,25.8,50.00000000000002
30,1,69.0,25.8,50.00000000000002
31,1,69.0,25.8,50.00000000000002
32,1,69.0,25.8,50.00000000000002
33,1,69.0,25.8,50.00000000000002
34,1,69.0,25.8,50.00000000000002
35,1,69.0,25.8,50.00000000000002
36,1,69.0,25.8,50.00000000000002
37,1,69.0,25.8,50.00000000000002
38,1,69.0,25.8,50.00000000000002
39,1,69.0,25.8,50.00000000000002
40,1,69.0,25.8,50.00000000000002
41,1,69.0,25.8,50.00000000000002
42,1,69.0,25.8,50.00000000000002
43,1,69.0,25.8,50.00000000000002
44,1,69.0,25.8,50.00000000000002
45,1,69.0,25.8,50.00000000000002
46,1,69.0,25.8,50.00000000000002
47,1,69.0,25.8,50.00000000000002
48,1,69.0,25.8,50.00000000000002
49,1,69.0,25.8,50.00000000000002
50,1,69.0,25.8,50.00000000000002
51,1,69.0,25.8,50.00000000000002
52,1,69.0,25.8,50.00000000000002
53,1,69.0,25.8,50.00000000000002
54,1,69.0,25.8,50.00000000000002
55,1,69.0,25.8,50.00000000000002
56,1,69.0,25.8,50.00000000000002
57,1,69.0,25.8,50.00000000000002
58,1,69.0,25.8,50.00000000000002
59,1,69.0,25.8,50.00000000000002
60,1,69.0,25.8,50.00000000000002
61,1,69.0,25.8,50.00000000000002
62,1,69.0,25.8,50.00000000000002
63,1,69.0,25.8,50.00000000000002
64,1,69.0,25.8,50.00000000000002
