entrada,pessoas,umidade,temperatura,resposta
0,0,78.0,28.5,77.3048418972332
1,0,78.0,28.5,77.3048418972332
2,0,78.0,28.5,77.3048418972332
3,0,78.0,28.5,77.3048418972332
4,0,79.0,28.5,78.84022909899129
5,0,79.0,28.5,78.84022909899129
6,0,79.0,28.5,78.84022909899129
7,0,79.0,28.5,78.84022909899129
8,0,78.0,28.5,77.3048418972332
9,1,78.0,28.5,56.661782661782716
10,1,79.0,28.5,57.40160642570288
11,1,79.0,28.5,57.40160642570288
12,1,78.0,28.5,56.661782661782716
13,2,78.0,28.5,56.661782661782716
14,2,79.0,28.5,57.40160642570288
15,2,79.0,28.5,57.40160642570288
16,1,79.0,28.5,57.40160642570288
17,1,79.0,28.5,57.40160642570288
18,1,79.0,28.5,57.40160642570288
19,1,79.0,28.5,57.40160642570288
20,1,79.0,28.5,57.40160642570288
21,1,79.0,28.5,57.40160642570288
