entrada,pessoas,umidade,temperatura,resposta
0,0,75.0,28.9,73.65702817215491
1,0,75.0,28.9,73.65702817215491
2,0,74.0,28.9,72.6908671852492
3,0,74.0,28.9,72.6908671852492
4,0,74.0,28.9,72.6908671852492
5,0,74.0,28.9,72.6908671852492
6,0,74.0,28.9,72.6908671852492
7,0,74.0,28.9,72.6908671852492
8,0,74.0,28.9,72.6908671852492
9,0,74.0,28.9,72.6908671852492
10,0,74.0,28.9,72.6908671852492
11,0,74.0,28.9,72.6908671852492
12,0,74.0,28.9,72.6908671852492
13,0,74.0,28.9,72.6908671852492
14,0,74.0,28.9,72.6908671852492
15,0,74.0,28.9,72.6908671852492
16,1,74.0,28.9,53.470985155195706
17,1,74.0,28.9,53.470985155195706
18,2,74.0,28.9,53.470985155195706
19,2,74.0,28.9,53.470985155195706
20,3,74.0,28.9,53.470985155195706
21,3,74.0,28.9,53.470985155195706
22,3,74.0,28.9,53.470985155195706
