,pessoas,umidade,temperatura,resposta
0,0,68.0,25.9,68.83372050372905
1,0,68.0,25.9,68.83372050372905
2,0,68.0,25.9,68.83372050372905
3,0,68.0,25.9,68.83372050372905
4,0,68.0,25.9,68.83372050372905
5,0,68.0,25.9,68.83372050372905
6,0,68.0,25.9,68.83372050372905
7,0,68.0,25.9,68.83372050372905
8,0,68.0,25.9,68.83372050372905
9,0,68.0,25.9,68.83372050372905
10,0,68.0,25.9,68.83372050372905
11,0,68.0,25.9,68.83372050372905
12,0,68.0,25.9,68.83372050372905
13,0,68.0,25.9,68.83372050372905
14,0,68.0,25.9,68.83372050372905
15,0,68.0,25.9,68.83372050372905
16,0,68.0,25.9,68.83372050372905
17,0,68.0,25.9,68.83372050372905
18,0,68.0,25.9,68.83372050372905
19,0,68.0,25.9,68.83372050372905
20,0,68.0,25.9,68.83372050372905
21,0,68.0,25.9,68.83372050372905
22,0,68.0,25.9,68.83372050372905
23,0,68.0,25.9,68.83372050372905
24,0,68.0,25.9,68.83372050372905
25,0,68.0,25.9,68.83372050372905
26,0,68.0,25.9,68.83372050372905
27,0,68.0,25.9,68.83372050372905
28,0,68.0,25.9,68.83372050372905
29,0,68.0,25.9,68.83372050372905
30,0,68.0,25.9,68.83372050372905
31,0,68.0,25.9,68.83372050372905
32,0,68.0,25.9,68.83372050372905
33,0,68.0,25.9,68.83372050372905
34,0,68.0,25.9,68.83372050372905
35,0,68.0,25.9,68.83372050372905
