entrada,pessoas,umidade,resposta
79,2,57.0,50.00000000000002
80,2,57.0,50.00000000000002
81,2,57.0,50.00000000000002
82,2,57.0,50.00000000000002
83,2,57.0,50.00000000000002
84,2,57.0,50.00000000000002
85,2,56.0,50.00000000000002
86,2,56.0,50.00000000000002
87,2,56.0,50.00000000000002
88,2,56.0,50.00000000000002
89,2,56.0,50.00000000000002
90,2,56.0,50.00000000000002
91,2,56.0,50.00000000000002
92,2,56.0,50.00000000000002
93,2,56.0,50.00000000000002
94,2,56.0,50.00000000000002
95,2,56.0,50.00000000000002
96,2,56.0,50.00000000000002
97,2,56.0,50.00000000000002
98,2,56.0,50.00000000000002
99,2,56.0,50.00000000000002
100,2,56.0,50.00000000000002
101,2,56.0,50.00000000000002
102,2,56.0,50.00000000000002
103,2,56.0,50.00000000000002
104,2,56.0,50.00000000000002
105,2,56.0,50.00000000000002
106,2,56.0,50.00000000000002
107,3,56.0,50.00000000000002
108,3,56.0,50.00000000000002
109,3,56.0,50.00000000000002
110,3,56.0,50.00000000000002
111,3,56.0,50.00000000000002
112,3,56.0,50.00000000000002
113,3,56.0,50.00000000000002
114,3,56.0,50.00000000000002
115,3,56.0,50.00000000000002
116,3,56.0,50.00000000000002
117,3,57.0,50.00000000000002
118,3,57.0,50.00000000000002
119,3,57.0,50.00000000000002
120,3,57.0,50.00000000000002
121,3,57.0,50.00000000000002
122,3,57.0,50.00000000000002
123,3,57.0,50.00000000000002
124,3,57.0,50.00000000000002
125,3,57.0,50.00000000000002
126,3,57.0,50.00000000000002
127,3,57.0,50.00000000000002
128,3,57.0,50.00000000000002
129,3,57.0,50.00000000000002
130,3,57.0,50.00000000000002
131,3,57.0,50.00000000000002
132,3,57.0,50.00000000000002
133,3,57.0,50.00000000000002
134,3,57.0,50.00000000000002
135,3,57.0,50.00000000000002
136,3,57.0,50.00000000000002
137,3,57.0,50.00000000000002
138,3,57.0,50.00000000000002
139,3,57.0,50.00000000000002
140,3,57.0,50.00000000000002
141,3,57.0,50.00000000000002
142,3,57.0,50.00000000000002
143,3,57.0,50.00000000000002
144,3,57.0,50.00000000000002
145,3,57.0,50.00000000000002
146,3,57.0,50.00000000000002
147,3,57.0,50.00000000000002
148,3,57.0,50.00000000000002
149,3,57.0,50.00000000000002
150,3,57.0,50.00000000000002
151,4,56.0,50.00000000000002
152,4,56.0,50.00000000000002
153,4,56.0,50.00000000000002
154,4,56.0,50.00000000000002
155,4,56.0,50.00000000000002
156,4,56.0,50.00000000000002
157,4,56.0,50.00000000000002
158,4,56.0,50.00000000000002
159,4,56.0,50.00000000000002
160,4,56.0,50.00000000000002
161,4,57.0,50.00000000000002
162,4,57.0,50.00000000000002
163,4,57.0,50.00000000000002
164,4,57.0,50.00000000000002
165,4,57.0,50.00000000000002
166,4,57.0,50.00000000000002
167,4,57.0,50.00000000000002
168,4,57.0,50.00000000000002
169,4,57.0,50.00000000000002
170,5,57.0,50.00000000000002
171,5,57.0,50.00000000000002
172,5,57.0,50.00000000000002
173,5,57.0,50.00000000000002
174,5,57.0,50.00000000000002
175,5,57.0,50.00000000000002
176,5,57.0,50.00000000000002
177,5,57.0,50.00000000000002
178,5,57.0,50.00000000000002
179,5,57.0,50.00000000000002
180,5,56.0,50.00000000000002
181,5,56.0,50.00000000000002
182,5,56.0,50.00000000000002
183,5,56.0,50.00000000000002
184,5,56.0,50.00000000000002
185,5,56.0,50.00000000000002
186,5,56.0,50.00000000000002
187,6,56.0,50.000000000000014
188,6,56.0,50.000000000000014
189,6,56.0,50.000000000000014
190,6,56.0,50.000000000000014
191,6,56.0,50.000000000000014
192,6,56.0,50.000000000000014
193,6,56.0,50.000000000000014
194,6,56.0,50.000000000000014
195,6,56.0,50.000000000000014
196,6,56.0,50.000000000000014
197,6,57.0,50.000000000000014
198,6,57.0,50.000000000000014
199,6,57.0,50.000000000000014
200,6,57.0,50.000000000000014
201,6,57.0,50.000000000000014
202,6,57.0,50.000000000000014
203,6,57.0,50.000000000000014
204,6,57.0,50.000000000000014
205,6,57.0,50.000000000000014
206,6,57.0,50.000000000000014
207,6,57.0,50.000000000000014
208,6,57.0,50.000000000000014
