entrada,pessoas,umidade,temperatura,resposta
0,0,71.0,30.5,70.40652231317668
1,0,71.0,30.5,70.40652231317668
2,0,72.0,30.5,71.0773930753564
3,0,71.0,30.5,70.40652231317668
4,0,71.0,30.5,70.40652231317668
5,0,71.0,30.5,70.40652231317668
6,0,70.0,30.5,69.80853251092263
7,0,70.0,30.5,69.80853251092263
8,1,69.0,30.5,50.00000000000002
9,1,69.0,30.5,50.00000000000002
10,1,69.0,30.5,50.00000000000002
11,1,69.0,30.5,50.00000000000002
12,1,69.0,30.5,50.00000000000002
13,1,69.0,30.5,50.00000000000002
14,1,69.0,30.5,50.00000000000002
15,1,69.0,30.6,50.00000000000002
16,1,69.0,30.5,50.00000000000002
17,1,69.0,30.6,50.00000000000002
18,1,69.0,30.6,50.00000000000002
19,1,69.0,30.6,50.00000000000002
20,1,69.0,30.6,50.00000000000002
21,1,69.0,30.6,50.00000000000002
22,1,69.0,30.6,50.00000000000002
23,1,69.0,30.6,50.00000000000002
24,1,69.0,30.6,50.00000000000002
25,1,69.0,30.6,50.00000000000002
26,1,69.0,30.6,50.00000000000002
27,1,69.0,30.6,50.00000000000002
28,1,69.0,30.6,50.00000000000002
29,1,69.0,30.6,50.00000000000002
30,1,69.0,30.5,50.00000000000002
31,1,69.0,30.5,50.00000000000002
32,1,69.0,30.5,50.00000000000002
33,1,69.0,30.5,50.00000000000002
34,1,69.0,30.5,50.00000000000002
35,1,69.0,30.5,50.00000000000002
36,1,69.0,30.5,50.00000000000002
37,1,69.0,30.5,50.00000000000002
38,1,69.0,30.5,50.00000000000002
39,1,69.0,30.5,50.00000000000002
40,1,69.0,30.5,50.00000000000002
41,1,69.0,30.5,50.00000000000002
42,1,69.0,30.5,50.00000000000002
43,1,69.0,30.5,50.00000000000002
44,2,69.0,30.5,50.00000000000002
45,2,69.0,30.5,50.00000000000002
46,2,69.0,30.5,50.00000000000002
47,2,69.0,30.5,50.00000000000002
48,2,69.0,30.5,50.00000000000002
49,2,69.0,30.5,50.00000000000002
50,2,69.0,30.5,50.00000000000002
51,2,69.0,30.5,50.00000000000002
52,2,69.0,30.5,50.00000000000002
53,2,69.0,30.5,50.00000000000002
54,2,69.0,30.5,50.00000000000002
55,2,69.0,30.5,50.00000000000002
56,2,69.0,30.5,50.00000000000002
57,3,69.0,30.5,50.00000000000002
58,3,69.0,30.5,50.00000000000002
59,3,69.0,30.5,50.00000000000002
60,3,69.0,30.5,50.00000000000002
61,3,69.0,30.5,50.00000000000002
62,3,69.0,30.5,50.00000000000002
63,3,69.0,30.5,50.00000000000002
64,3,69.0,30.5,50.00000000000002
65,3,69.0,30.5,50.00000000000002
66,3,69.0,30.5,50.00000000000002
67,3,69.0,30.5,50.00000000000002
68,3,69.0,30.5,50.00000000000002
69,3,69.0,30.5,50.00000000000002
70,3,69.0,30.5,50.00000000000002
71,3,69.0,30.5,50.00000000000002
72,3,69.0,30.5,50.00000000000002
73,3,69.0,30.5,50.00000000000002
74,3,69.0,30.5,50.00000000000002
75,3,69.0,30.5,50.00000000000002
76,3,69.0,30.5,50.00000000000002
77,3,69.0,30.5,50.00000000000002
78,3,69.0,30.5,50.00000000000002
79,3,69.0,30.5,50.00000000000002
80,3,69.0,30.5,50.00000000000002
81,3,69.0,30.5,50.00000000000002
82,3,69.0,30.5,50.00000000000002
83,4,69.0,30.5,50.00000000000002
84,4,69.0,30.5,50.00000000000002
85,4,69.0,30.5,50.00000000000002
86,4,69.0,30.5,50.00000000000002
87,4,69.0,30.5,50.00000000000002
88,4,69.0,30.5,50.00000000000002
89,4,69.0,30.5,50.00000000000002
90,4,69.0,30.5,50.00000000000002
91,4,69.0,30.5,50.00000000000002
92,4,69.0,30.5,50.00000000000002
93,4,69.0,30.5,50.00000000000002
94,4,69.0,30.5,50.00000000000002
95,4,69.0,30.5,50.00000000000002
96,4,69.0,30.5,50.00000000000002
97,4,69.0,30.5,50.00000000000002
98,4,69.0,30.5,50.00000000000002
99,4,69.0,30.5,50.00000000000002
100,4,69.0,30.5,50.00000000000002
101,4,69.0,30.5,50.00000000000002
102,4,69.0,30.5,50.00000000000002
103,4,69.0,30.5,50.00000000000002
104,4,69.0,30.5,50.00000000000002
105,4,69.0,30.5,50.00000000000002
106,4,69.0,30.5,50.00000000000002
107,4,69.0,30.5,50.00000000000002
108,4,69.0,30.5,50.00000000000002
109,4,69.0,30.5,50.00000000000002
110,4,69.0,30.4,50.00000000000002
111,4,69.0,30.4,50.00000000000002
112,4,69.0,30.4,50.00000000000002
113,4,69.0,30.4,50.00000000000002
114,4,69.0,30.4,50.00000000000002
115,4,69.0,30.4,50.00000000000002
116,4,69.0,30.4,50.00000000000002
117,4,69.0,30.4,50.00000000000002
118,4,69.0,30.4,50.00000000000002
119,4,69.0,30.4,50.00000000000002
120,4,69.0,30.4,50.00000000000002
121,4,69.0,30.4,50.00000000000002
122,4,69.0,30.4,50.00000000000002
123,4,69.0,30.4,50.00000000000002
124,4,69.0,30.4,50.00000000000002
125,4,69.0,30.4,50.00000000000002
126,4,69.0,30.4,50.00000000000002
